Organization Name,Location,Tax Identification Number,KCEGP Code,Website,Short Description,Category,Category 3,Category 2,Link 1,Link 2,Link 3,Link 4,Status,Community of Opportunity,Current Pledges,Link 1 description,Link 2 description,Link 3 description,Link 4 description,Communities Served 1,Communities Served 2,Communities Served 3
University of Washington Foundation,"407 Gerberding Hall Box 351210
Seattle, WA 98195
(47.6553, -122.3093)",94-3079432,9191,https://uw.edu/giving,"Our primary mission is the preservation, advancement and dissemination of knowledge. We work to turn ideas into impact and transform lives.",Education & Literacy,,,,https://www.guidestar.org/profile/94-3079432,,,Returning,,,,https://www.guidestar.org/profile/94-3079432,,,,,
Sports In Schools,"1211 E Denny Way #B1
Seattle, WA 98122
(47.618629996, -122.316400997)",27-1754999,2784,https://www.sportsinschools.org,"Provides under resourced youth the opportunity to do something positive after school, providing kids a healthy connection to their schools and communities.",Education & Literacy,,Youth Development,,https://www.guidestar.org/profile/27-1754999,,,Returning,,,,https://www.guidestar.org/profile/27-1754999,,,,,
Bellevue Botanical Garden Society,"12001 Main St
Bellevue, WA 98005
(47.609922702, -122.178505033)",91-1333659,10948,https://bellevuebotanical.org/,Exists to perpetuate and further enhance the Bellevue Botanical Garden as a learning resource in partnership with the City of Bellevue.,Environment,"Recreation, Sports, Leisure, & Athletics",Education & Literacy,https://www.charitynavigator.org/ein/911333659,https://www.guidestar.org/profile/91-1333659,https://www.bbb.org/charity-reviews/greatwestpacific/bellevue-botanical-garden-society-in-bellevue-wa-22749147,,Returning,,,https://www.charitynavigator.org/ein/911333659,https://www.guidestar.org/profile/91-1333659,https://www.bbb.org/charity-reviews/greatwestpacific/bellevue-botanical-garden-society-in-bellevue-wa-22749147,,,,
Southeast Youth & Family Services,"3722 S Hudson St
Seattle, WA 98118
(47.557207997, -122.28508101)",91-1036750,9330,https://seyfs.org,"Founded by leaders of the local Black community, we provide comprehensive early learning and mental health services that are based on the needs and strengths of families we serve.","Mental Health, Disabilities, & Substance Abuse",Youth Development,Education & Literacy,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911036750,https://www.guidestar.org/profile/91-1036750,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911036750,https://www.guidestar.org/profile/91-1036750,,,Children & Youth,"Black, African American, African","Immigrants, Migrants, Refugees"
Seattle Indian Health Board,"611 12th Ave S
Seattle, WA 98144
(47.597119979, -122.318047035)",91-0869056,9380,https://www.sihb.org,"Provides primary care for American Indian/Alaska Natives in King County including medical, dental, chemical dependency, mental health, DV case management, youth & elder services.",Health (General),Social & Economic Justice,"Mental Health, Disabilities, & Substance Abuse",https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910869056,https://www.guidestar.org/profile/910869056,https://www.bbb.org/western-washington/charity-reviews/charity-american-indian/seattle-indian-health-board-in-seattle-wa-22379192,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910869056,https://www.guidestar.org/profile/910869056,https://www.bbb.org/western-washington/charity-reviews/charity-american-indian/seattle-indian-health-board-in-seattle-wa-22379192,,"American Indian, Alaskan Native",Economically Disadvantaged People,Seniors
Pets of the Homeless,"710 W Washington St
Carson City, NV 89703
(39.168905741, -119.77250101)",26-3010540,2919,https://www.petsofthehomeless.org,Our mission is to feed and provide basic emergency veterinary care to pets of the homeless who do not have resources.,Animals,Poverty Relief,Housing & Employment,,https://www.guidestar.org/profile/26-3010540,,,NEW,,,,https://www.guidestar.org/profile/26-3010540,,,,,
Seattle Arts & Lectures,"340 15th Ave E Ste 301
Seattle, WA 98112
(47.621646015, -122.312310041)",91-1384964,9750,https://lectures.org,SAL cultivates transformative experiences through story and language with readers and writers of all generations.,"Arts, Culture, & Humanities",,Education & Literacy,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911384964,https://www.guidestar.org/profile/91-1384964,https://www.bbb.org/western-washington/Charity-Reviews/charity-arts-and-culture/seattle-arts-and-lectures-in-seattle-wa-90003122,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911384964,https://www.guidestar.org/profile/91-1384964,https://www.bbb.org/western-washington/Charity-Reviews/charity-arts-and-culture/seattle-arts-and-lectures-in-seattle-wa-90003122,,,,
Roots of Empathy USA,"9510 7th Ave NW
Seattle, WA 98117
(47.698212982, -122.364447993)",98-1017743,9873,https://www.rootsofempathy.org,"An evidence-based classroom program shown to build empathy in school-aged children, to reduce classroom and schoolyard bullying, and to promote pro-social behaviors.",Education & Literacy,,Youth Development,https://www.charitynavigator.org/ein/981017743,https://www.guidestar.org/profile/98-1017743,,,Returning,,,https://www.charitynavigator.org/ein/981017743,https://www.guidestar.org/profile/98-1017743,,,Children & Youth,,
America SCORES Seattle,"12345 Lake City Way NE #377
Seattle, WA 98125
(47.718677985, -122.296004976)",71-0931983,9528,https://www.americascoresseattle.org,"An afterschool program tasked with engaging Title 1 K-5 students in a safe and supportive environment. We target the mind, body, and soul using soccer, poetry, and service.",Youth Development,"Recreation, Sports, Leisure, & Athletics",Education & Literacy,,https://www.guidestar.org/profile/71-0931983,,,New,,,,https://www.guidestar.org/profile/71-0931983,,,Children & Youth,,
Unexpected Productions Improv,"1428 Post Alley, Market Theater - Pike Place Market
Seattle, WA 98101
(47.608474986, -122.340157992)",95-3969771,9605,https://www.unexpectedproductions.org,"This innovative troupe & school is the heart of improv in the Puget Sound. For 40 years, they have focused on the art of spontaneous storytelling that is entertaining and relevant.","Arts, Culture, & Humanities",,,https://www.charitynavigator.org/ein/953969771,https://www.guidestar.org/profile/95-3969771,,,New,,,https://www.charitynavigator.org/ein/953969771,https://www.guidestar.org/profile/95-3969771,,,,,
Technology and Information for all - TINFA,"333 18th Ave E
Seattle, WA 98112
(47.621482987, -122.309036992)",91-2073142,9690,https://www.tinfa.org,Empowers teachers to bring 21st century skills to kids in underserved areas of developing countries.,Education & Literacy,Youth Development,International Relief & Development,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912073142,https://www.guidestar.org/profile/91-2073142,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912073142,https://www.guidestar.org/profile/91-2073142,,,Economically Disadvantaged People,"Latino/Latina/Latinx, Hispanic",Children & Youth
Dogs Last Chance,"8033 Sunset Blvd Ste 835
Los Angeles, CA 90046
(34.098234984, -118.364781997)",95-4013155,2802,https://www.LCAnimal.org,Help us end animal abuse! We do ground breaking undercover investigations to expose animal abusers and put an end to the cruelty!,Animals,,,,https://www.guidestar.org/profile/95-4013155,,,Returning,,,,https://www.guidestar.org/profile/95-4013155,,,,,
Officers' Christian Fellowship,"3784 S Inca St
Englewood, CO 80110
(39.647984984, -104.997951959)",38-1415401,4185,https://www.ocfusa.org,"Engage military leaders in Biblical fellowship and growth to equip them for Christ-like service at the intersection of faith, family, and profession.",Spiritual Development,,Youth Development,,https://www.guidestar.org/profile/38-1415401,,,Returning,,,,https://www.guidestar.org/profile/38-1415401,,,Veterans & Military,Children & Youth,
North Olympic Land Trust,"602 E Front St
Port Angeles, WA 98362
(48.115863981, -123.423573041)",91-1500378,10970,https://www.northolympiclandtrust.org,An accredited land trust conserving economically and ecologically vital lands that sustain the communities of the Olympic Peninsula in Washington State.,Environment,,,https://www.charitynavigator.org/ein/911500378,https://www.guidestar.org/profile/91-1500378,,,Returning,,,https://www.charitynavigator.org/ein/911500378,https://www.guidestar.org/profile/91-1500378,,,,,
Mother Nation,"801 23rd Ave S Ste A,B
Seattle, WA 98144
(47.595420004, -122.302514027)",46-2691773,9903,https://www.mothernation.org,"Offers culturally informed healing services, advocacy, mentorship and homeless prevention services to support the success of Native American women and families.",Community Development,"Mental Health, Disabilities, & Substance Abuse",Emergency & Disaster Services,,,,,New,,,,,,,"American Indian, Alaskan Native",Economically Disadvantaged People,Women & Girls
Action for Healthy Kids,"600 W Van Buren St Ste 720
Chicago, IL 60607
(41.876962996, -87.642890014)",47-0902020,4199,https://www.actionforhealthykids.org/,Our mission is to mobilize families and schools to prepare kids to be healthy in body and mind.,Youth Development,"Recreation, Sports, Leisure, & Athletics",Health (General),,https://www.guidestar.org/profile/47-0902020,,,NEW,,,,https://www.guidestar.org/profile/47-0902020,,,Children & Youth,Economically Disadvantaged People,
Water Access Now,"2121 N 61 St
Seattle, WA 98103
(47.672726003, -122.332630959)",45-3246965,10845,https://wateraccessnow.org,Seattle area all volunteer organization with sole mission to financially support clean water systems in Ghana. Overhead under 2% since 2011. 200 systems installed; 90% sustained by village committees.,Health (General),Poverty Relief,"Disease, Disorders, & Medical Research",,,,,Returning,,,,,,,"Black, African American, African",,
Amref Health Africa,"224 W 35th St Ste 500 #237
New York, NY 10001
(40.752016623, -73.991214155)",13-1867411,3502,https://www.amref.org,We train local health workers and provide health services to meet the continent's dynamic and critical health needs.,Health (General),Community Development,International Relief & Development,https://www.charitynavigator.org/ein/131867411,https://www.guidestar.org/profile/13-1867411,https://www.give.org/charity-reviews/national/health/amref-health-africa-in-new-york-ny-2584,,Returning,,,https://www.charitynavigator.org/ein/131867411,https://www.guidestar.org/profile/13-1867411,https://www.give.org/charity-reviews/national/health/amref-health-africa-in-new-york-ny-2584,,Economically Disadvantaged People,Children & Youth,Women & Girls
United Foundation-Nepal,"15127 NE 24th St Ste #79
Redmond, WA 98052
(47.630357997, -122.138677995)",87-1762027,10183,https://www.ufnepal.org,"UFN is a 501(c)(3) nonprofit fighting against the rising tide of poverty, disease, and illiteracy in Nepal.",Education & Literacy,Food & Hunger,Health (General),,,,,New,,,,,,,Children & Youth,"Asian, Asian American",Economically Disadvantaged People
Seattle Good Business Network,"1143 Martin Luther King Jr Way #77
Seattle, WA 98122
(47.612548004, -122.296463969)",27-2172486,10086,https://www.seattlegood.org,"Community economic development uniting businesses and community partners around shared values by connecting them to opportunities, resources, and each other.",Food & Hunger,Social & Economic Justice,Youth Development,https://www.charitynavigator.org/ein/272172486,https://www.guidestar.org/profile/27-2172486,,,Returning,,,https://www.charitynavigator.org/ein/272172486,https://www.guidestar.org/profile/27-2172486,,,Children & Youth,Women & Girls,Economically Disadvantaged People
Washington State Historical Society,"1911 Pacific Ave
Tacoma, WA 98335
(47.24468002, -122.436073032)",91-6000557,10172,https://washingtonhistory.org,"Collects, preserves, and presents our state's rich and storied history. We work with communities to explore how history connects us all.","Arts, Culture, & Humanities",Community Development,Education & Literacy,,https://www2.guidestar.org/profile/91-6000557,,,New,,,,https://www2.guidestar.org/profile/91-6000557,,,Children & Youth,Seniors,
Disability Rights Washington,"315 5th Ave S Ste 850
Seattle, WA 98104
(47.599636981, -122.327965005)",91-0956784,9921,https://www.disabilityrightswa.org,"Statewide organization advocating for the rights of people with all disabilities in Washington, advancing dignity, equality and self-determination.",Human & Civil Rights,Social & Economic Justice,Legal Advocacy,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910956784,https://www.guidestar.org/profile/91-0956784,https://www.bbb.org/western-washington/Charity-Reviews/charity-civil-rights/disability-rights-washington-in-seattle-wa-502604,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910956784,https://www.guidestar.org/profile/91-0956784,https://www.bbb.org/western-washington/Charity-Reviews/charity-civil-rights/disability-rights-washington-in-seattle-wa-502604,,People With Disabilities,Economically Disadvantaged People,Incarcerated People
O'Dea High School Foundation,"802 Terry Ave
Seattle, WA 98104
(47.607963019, -122.324938971)",91-1307532,9259,https://www.odea.org,"Supports O'Dea, a Catholic high school whose mission is to educate young men and prepare them to be men of character, faith, and service.",Education & Literacy,,Youth Development,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910905301,https://www.guidestar.org/profile/91-0905301,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910905301,https://www.guidestar.org/profile/91-0905301,,,,,
Pasado's Safe Haven,"PO Box 171
Sultan, WA 98294
(47.868195, -121.814825)",91-1843707,9112,https://www.pasadosafehaven.org/,We are fighting to end animal cruelty through comprehensive programs and inspired action. You can read all about our varied programs on our website.,Animals,Environment,Legal Advocacy,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6634,https://www.guidestar.org/profile/91-1843707,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6634,https://www.guidestar.org/profile/91-1843707,,,Economically Disadvantaged People,Children & Youth,"American Indian, Alaskan Native"
Center on Contemporary Art (CoCA),"114 3rd Ave S
Seattle, WA 98104
(47.601170995, -122.329828973)",91-1222655,9716,https://www.cocaseattle.org,"Serves the Pacific Northwest as a catalyst and forum for the advancement, development, and understanding of Contemporary Art.","Arts, Culture, & Humanities",Community Development,Education & Literacy,https://www.charitynavigator.org/ein/911222655,https://www.guidestar.org/profile/91-1222655,,,Returning,,,https://www.charitynavigator.org/ein/911222655,https://www.guidestar.org/profile/91-1222655,,,,,
Centerstage Theatre,"1600B SW Dash Point Rd #271
Federal Way, WA 98023
(47.323419177, -122.355194957)",91-1116700,9853,https://www.centerstagetheatre.com,"Believing that theater is an agent of challenge, change, and education, Centerstage Theatre produces quality performances to enhance the lives of people in the South Puget Sound.","Arts, Culture, & Humanities",,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911116700,https://www.guidestar.org/profile/91-1116700,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911116700,https://www.guidestar.org/profile/91-1116700,,,,,
Children's Institute for Learning Differences (CHILD),"2640 Benson Rd S
Renton, WA 98055
(47.456316998, -122.201284022)",91-1055331,9280,https://www.childnow.org,"Once-failing students learn to regulate themselves, develop relationships, and be learners with CHILD’s life-changing interventions, so they achieve success at school and in life.",Education & Literacy,"Mental Health, Disabilities, & Substance Abuse",Youth Development,https://www.charitynavigator.org/ein/911055331,https://www.guidestar.org/profile/91-1055331,,,Returning,,,https://www.charitynavigator.org/ein/911055331,https://www.guidestar.org/profile/91-1055331,,,Children & Youth,People With Disabilities,
Girl Scouts of Western Washington,"5601 6th Ave S Ste 150
Seattle, WA 98108
(47.552360994, -122.327663005)",91-6060940,9410,https://www.girlscoutsww.org,"Empowers every girl - regardless of her race, ethnicity, socioeconomic status, sexual orientation, or geographic location - to make the world a better place.",Youth Development,Community Development,Environment,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9763,https://www.guidestar.org/profile/91-6060940,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9763,https://www.guidestar.org/profile/91-6060940,,,Children & Youth,Women & Girls,
Vine Maple Place,"PO Box 1092
Maple Valley, WA 98038
(47.357985, -122.05191)",91-2082308,9769,https://www.VineMaplePlace.org,"We break the generational cycle of homelessness by working with homeless, and near-homeless, single parents and their children.",Housing & Employment,"Mental Health, Disabilities, & Substance Abuse",Youth Development,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912082308,https://www.guidestar.org/profile/91-2082308,https://www.bbb.org/western-washington/Charity-Reviews/charity-human-services-ie-assistance-to-individuals-and-families/vine-maple-place-in-maple-valley-wa-22470795,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912082308,https://www.guidestar.org/profile/91-2082308,https://www.bbb.org/western-washington/Charity-Reviews/charity-human-services-ie-assistance-to-individuals-and-families/vine-maple-place-in-maple-valley-wa-22470795,,Economically Disadvantaged People,Children & Youth,
Washington Women In Need,"232 5th Ave S Ste 201
Kirkland, WA 98033
(47.672297981, -122.202825035)",91-1559848,2727,https://www.wwin.org,WWIN inspires women in Washington State to see what's possible and empowers them to achieve economic stability through higher education and living wage careers.,Education & Literacy,,Poverty Relief,,https://www.guidestar.org/profile/91-1559848,,,Returning,,,,https://www.guidestar.org/profile/91-1559848,,,,,
National Wildlife Federation,"11100 Wildlife Center Dr
Reston, VA 20190
(38.951849192, -77.331232334)",53-0204616,2540,https://www.nwf.org/,Uniting all Americans to ensure wildlife thrive in a rapidly changing world.,Environment,,,https://www.charitynavigator.org/ein/530204616,https://www.guidestar.org/profile/53-0204616,https://give.org/charity-reviews/national/Environment/National-Wildlife-Federation-in-Reston-va-1199,,Returning,,,https://www.charitynavigator.org/ein/530204616,https://www.guidestar.org/profile/53-0204616,https://give.org/charity-reviews/national/Environment/National-Wildlife-Federation-in-Reston-va-1199,,,,
Friends of Echo Glen,"Echo Glen Children's Center, 33010 SE 99th St
Snoqualmie, WA 98065
(47.51889, -121.900055)",91-2010740,10187,https://www.echoglen.org,We are a 100% volunteer community that exists with the sole purpose of helping the youth at Echo Glen Juvenile Correction Center to rewrite the scripts of their lives.,Youth Development,Social & Economic Justice,"Mental Health, Disabilities, & Substance Abuse",,https://www.guidestar.org/profile/91-2010740,,,New,,,,https://www.guidestar.org/profile/91-2010740,,,Incarcerated People,Children & Youth,
SCM Medical Missions,"3806 Whitman Ave N
Seattle, WA 98103
(47.65304102, -122.345742016)",91-1481782,10925,https://www.scmmedicalmissions.org,We are focused on bringing relief & aid to people affected by conflict and natural disaster in the Middle East and North Africa & aiding refugees resettled in the Puget Sound area.,International Relief & Development,Poverty Relief,Food & Hunger,,https://www.guidestar.org/profile/91-1481782,,,Returning,,,,https://www.guidestar.org/profile/91-1481782,,,"Immigrants, Migrants, Refugees",LGBTQIA,Women & Girls
Seattle Children's Hospital and Research Foundation,"6901 Sand Point Way NE
Seattle, WA 98115
(47.678437013, -122.264176962)",91-1156519,9002,https://seattlechildrens.org,"Provides hope, care and cures to help every child live the healthiest and most fulfilling life possible.",Health (General),"Mental Health, Disabilities, & Substance Abuse","Disease, Disorders, & Medical Research",https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911156519,https://www.guidestar.org/profile/91-1156519,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911156519,https://www.guidestar.org/profile/91-1156519,,,Children & Youth,,
Kentwood Community PTSA 9.7.120,"25800 164th Ave SE
Covington, WA 98042
(47.370248012, -122.119352008)",91-1504643,9798,https://kwptsa.weebly.com,"In partnership with Covington Rotary and the Kent School District, KW PTSA assists in providing a weekend food backpack program for Kentwood High School students.",Food & Hunger,Youth Development,Education & Literacy,,,,,Returning,,,,,,,Children & Youth,Economically Disadvantaged People,"Immigrants, Migrants, Refugees"
Washington Council of Trout Unlimited,"12819 SE 38th St #462
Bellevue, WA 98006
(47.575721986, -122.16868898)",51-0225116,2590,https://washingtontu.org/,"Protect, Reconnect and Restore Washington's cold-water streams and rivers, their watersheds and ecosystems to insure the survival our Salmon, Steelhead and Trout.",Environment,,Animals,https://www.charitynavigator.org/ein/510225116,https://www.guidestar.org/profile/51-0225116,,,Returning,,,https://www.charitynavigator.org/ein/510225116,https://www.guidestar.org/profile/51-0225116,,,,,
RVC Seattle,"3715 S Hudson St Ste 103
Seattle, WA 98118
(47.556867021, -122.285187041)",47-4257834,9956,https://rvcseattle.org,"We strengthen the power of communities of color in order to create a more equitable society through capacity-building, leadership development, and operations support.",Social & Economic Justice,Human & Civil Rights,Community Development,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=474257834,https://www.guidestar.org/profile/47-4257834,https://www.bbb.org/western-washington/charity-reviews/charity-other-charitable-organizations/rainier-valley-corps-in-seattle-wa-1000033305,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=474257834,https://www.guidestar.org/profile/47-4257834,https://www.bbb.org/western-washington/charity-reviews/charity-other-charitable-organizations/rainier-valley-corps-in-seattle-wa-1000033305,,"Black, African American, African","Latino/Latina/Latinx, Hispanic","Immigrants, Migrants, Refugees"
Christmas House,"PO Box 717
Everett, WA 98206
(48.01306, -122.319018929)",91-1177244,2750,https://www.christmas-house.org,A 100% volunteer non-profit organization that provides qualifying low-income Snohomish County parents with free holiday gifts for their children.,Poverty Relief,,,,https://www.guidestar.org/profile/91-1177244,,,Returning,,,,https://www.guidestar.org/profile/91-1177244,,,,,
Kent Food Bank and Emergency Services,"515 W Harrison St Ste 107
Kent, WA 98032
(47.382430019, -122.238725984)",91-0881434,9358,https://www.kentfoodbank.org,"Offer basic needs including food, diapers and household items to all individuals and families.",Food & Hunger,Poverty Relief,Emergency & Disaster Services,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910881434,https://www.guidestar.org/organizations/91-0881434/kent-food-bank-emergency-services.aspx,https://www.bbb.org/alaskaoregonwesternwashington/Charity-Reviews/charity-human-services-ie-assistance-to-individuals-and-families/kent-food-bank-and-emergency-services-in-kent-wa-22462360,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910881434,https://www.guidestar.org/organizations/91-0881434/kent-food-bank-emergency-services.aspx,https://www.bbb.org/alaskaoregonwesternwashington/Charity-Reviews/charity-human-services-ie-assistance-to-individuals-and-families/kent-food-bank-and-emergency-services-in-kent-wa-22462360,,Economically Disadvantaged People,Children & Youth,Seniors
Live Music Project,"117 E Louisa St PMB 570
Seattle, WA 98102
(47.641962695, -122.32639959)",81-2029807,10024,https://www.livemusicproject.org,"Supporting access to the arts through community-centered, non-profit technology. Our classical concert calendar helps listeners find concerts based on their interests.","Arts, Culture, & Humanities",,Community Development,https://www.charitynavigator.org/ein/812029807,https://www.guidestar.org/profile/81-2029807,,,Returning,,,https://www.charitynavigator.org/ein/812029807,https://www.guidestar.org/profile/81-2029807,,,Economically Disadvantaged People,,
American Lung Association in Washington,"5601 6th Ave S Ste 460
Seattle, WA 98108
(47.552360994, -122.327663005)",13-1632524,4059,https://www.lung.org,"Our mission is to save lives by improving lung health and preventing lung disease through research, education and advocacy.",Environment,"Disease, Disorders, & Medical Research",Health (General),,https://www.guidestar.org/profile/13-1632524,,,Returning,,,,https://www.guidestar.org/profile/13-1632524,,,Children & Youth,Seniors,
Glacier National Park Conservancy,"PO Box 2749
Columbia Falls, MT 59912
(48.372025, -114.182485)",56-2579734,9636,https://www.glacier.org,"We are the official fundraiser of Glacier National Park. With your support, we provide funding for vital projects and programs that preserve and protect the park.",Animals,"Science & Technology Research, Institutions, & Services",Environment,https://www.charitynavigator.org/ein/562579734,https://www.guidestar.org/profile/56-2579734,https://www.bbb.org/charity-reviews/greatwestpacific/glacier-national-park-conservancy-in-columbia-fls-mt-1000041645,,Returning,,,https://www.charitynavigator.org/ein/562579734,https://www.guidestar.org/profile/56-2579734,https://www.bbb.org/charity-reviews/greatwestpacific/glacier-national-park-conservancy-in-columbia-fls-mt-1000041645,,,,
SIFF,"SIFF Film Center, 167 Republican St
Seattle, WA 98109
(47.623199902, -122.354572844)",91-1489660,9823,https://www.siff.net,"We create experiences that bring people together to discover extraordinary films from around the world through SIFF Education, SIFF Cinema, & Seattle International Film Festival.","Arts, Culture, & Humanities",Human & Civil Rights,Education & Literacy,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=siff,https://www.guidestar.org/profile/911489660,https://www.bbb.org/western-washington/Charity-Reviews/siff,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=siff,https://www.guidestar.org/profile/911489660,https://www.bbb.org/western-washington/Charity-Reviews/siff,,,,
MultiCare Foundations,"PO Box 5296, MS: 1313-3-FND
Tacoma, WA 98415
(47.25514, -122.44164)",91-1514257,8500,https://give.multicare.org/,Partnering for healing and a healthy future through philanthropy. Your support provides access to expert compassionate care close to home.,Health (General),"Disease, Disorders, & Medical Research","Mental Health, Disabilities, & Substance Abuse",https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911514257,https://www.guidestar.org/organizations/91-1514257/multicare-health-foundation.aspx,https://www.bbb.org/western-washington/business-reviews/charity-health/multicare-health-foundation-in-tacoma-wa-22785223,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911514257,https://www.guidestar.org/organizations/91-1514257/multicare-health-foundation.aspx,https://www.bbb.org/western-washington/business-reviews/charity-health/multicare-health-foundation-in-tacoma-wa-22785223,,Children & Youth,Economically Disadvantaged People,Seniors
Emerald City Supper Club,"318 NE 76th St
Seattle, WA 98115
(47.683780015, -122.324788013)",83-4263093,10155,https://emeraldcitysupperclub.org/,"Hosts community events that bring together individual donors and advocates to raise awareness of local non-profit organizations, raising $10,000 to donate at each event.","Arts, Culture, & Humanities",Environment,Community Development,https://www.charitynavigator.org/ein/834263093,https://www.guidestar.org/profile/83-4263093,,,New,,,https://www.charitynavigator.org/ein/834263093,https://www.guidestar.org/profile/83-4263093,,,Economically Disadvantaged People,,
the V Foundation,"14600 Weston Pkwy
Cary, NC 27513
(35.817733009, -78.811361016)",13-3705951,4150,https://www.v.org,We fund game-changing research and all-star scientists to accelerate victory over cancer and save lives.,"Disease, Disorders, & Medical Research",,Health (General),,https://www.guidestar.org/profile/13-3705951,,,Returning,,,,https://www.guidestar.org/profile/13-3705951,,,Seniors,Children & Youth,Women & Girls
Veteran Tickets Foundation,"1255 W Rio Salado Pkwy Ste 209
Tempe, AZ 85281
(33.430435599, -111.956699589)",26-2291955,2865,https://www.VetTix.org,"Supporting Military, Veterans, 1st-Responders and their Families with entertainment, lasting memories and reintegration opportunities by providing tickets to sporting events, concerts, and family activities.","Recreation, Sports, Leisure, & Athletics",,,,https://www.guidestar.org/profile/26-2291955,,,Returning,,,,https://www.guidestar.org/profile/26-2291955,,,,,
Plan International USA,"235 Promenade St Ste 600
Providence, RI 2908
(41.82941598, -71.419890007)",13-5661832,3561,https://www.planusa.org,We are a global girls’ rights organization working to end gender inequality around the world.,International Relief & Development,Community Development,Youth Development,https://www.charitynavigator.org/ein/135661832,https://www.guidestar.org/profile/13-5661832,,,Returning,,,https://www.charitynavigator.org/ein/135661832,https://www.guidestar.org/profile/13-5661832,,,Economically Disadvantaged People,Women & Girls,Children & Youth
National Kidney Foundation Serving Northern California,"220 Montgomery St Ste 1041
San Francisco, CA 94104
(37.791322017, -122.401991963)",13-1673104,4070,https://www.kidney.org,"We are the largest, most effective, and longstanding organization fighting kidney disease, which impacts 1 in 3 Americans and their families.",Health (General),,"Disease, Disorders, & Medical Research",,https://www.guidestar.org/profile/13-1673104,,,Returning,,,,https://www.guidestar.org/profile/13-1673104,,,Children & Youth,Economically Disadvantaged People,Seniors
PAWS,"15305 44th Ave W
Lynnwood, WA 98046
(47.859207004, -122.291339022)",91-6073154,9070,https://www.paws.org,"Since 1967, rehabilitating injured and orphaned wildlife, sheltering and adopting homeless cats and dogs, and educating people to make a better world for animals and people.",Animals,Youth Development,Education & Literacy,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5775,https://www.guidestar.org/profile/91-6073154,https://www.bbb.org/western-washington/Charity-Reviews/charity-animal-protection/paws-in-lynnwood-wa-506492,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5775,https://www.guidestar.org/profile/91-6073154,https://www.bbb.org/western-washington/Charity-Reviews/charity-animal-protection/paws-in-lynnwood-wa-506492,,,,
National Fish and Wildlife Foundation,"1133 15th St NW Ste 1000
Washington, DC 20005
(38.904861374, -77.034023878)",52-1384139,2606,https://www.nfwf.org/,"Established by Congress, NFWF directs public conservation dollars to the most pressing environmental needs and matches those investments with private contributions.",Environment,,,https://www.charitynavigator.org/ein/521384139,https://www.guidestar.org/profile/52-1384139,,,Returning,,,https://www.charitynavigator.org/ein/521384139,https://www.guidestar.org/profile/52-1384139,,,,,
National Kidney Foundation (Headquarters),"30 E 33rd St
New York, NY 10016
(40.746763768, -73.98288992)",13-1673104,4114,https://www.kidney.org,"We are a lifeline for all people affected by kidney disease. As pioneers of research and innovation, NKF focuses on the whole patient.",Health (General),,"Disease, Disorders, & Medical Research",,https://www.guidestar.org/profile/13-1673104,,,NEW,,,,https://www.guidestar.org/profile/13-1673104,,,Children & Youth,Economically Disadvantaged People,Seniors
