Focus,Best Starts for Kids Strategy,Partner,Project Description/Name,Contract Amount,King County Council Dist
COO,COO: Community Partnerships,Latino Community Fund of Washington,"Our proposed plan for 2022 is to maintain all of our activities, as they are integral to the interests, needs, and dreams of our community. We will continue the activities of managing COVID-19 impacts, developing community leadership and regular cohorts, investing in our community’s brilliance, skills and ideas when it comes to sustainable economic development strategies as well as efforts to shift systems, environments and policies to increase the health and well-being of Latino and low-income residents of Vashon Island. These activities are the building blocks that lead to cocreation of even more community-led initiatives. We are also adding another activity which involves a multilayered approach to developing strategies to increase the sustainability of our organization. We all know at this point we cannot thrive if we are struggling to simply survive. These activities all have the common goal and vision to equip Latinos to thrive by embracing our culture and talent and harnessing our power to transform systems that weren’t designed for us or by us. Cultivating community leadership and truly forming the specifics of each activity to the current situation, challenges, or barriers being experienced by us and our community is what enables us to address them and form, organize, and implement impactful actions together.","$   110,685.84",8
COO,COO: Community Partnerships,LGBTQ Allyship,"Working in partnership with: LGBTQ Allyship, Entre Hermanos and POCAAN // The Collaborative will build a sustainable network of LGBTQ+ led organizations that uses an equity-centered, collective impact framework to advance systems and policy changes toward housing, health, economic, and racial equity for LGBTQ+ communities in South King County.  Contract End Date: 12/31/25","$   855,000.00","5, 7, 9, 2, 8"
COO,COO: Community Partnerships,Northwest Film Forum,The Multicultural Community Coalition (MCC) will continue to work on its project to anchor several community organizations,"$   199,307.58","2, 3"
COO,COO: Community Partnerships,Potlatch Fund,"COO has supported the Seattle Urban Native Nonprofit’s (SUNN) collaborative, currently made up of 12 organizations, that support the multitudes of Indigenous populations throughout King County through sustainable practices that cultivate and reinforce indigenous core values and strategies rooted in respect, reciprocity, relationality and redistribution. The Seattle Urban Native Nonprofit (SUNN) collaborative has a two-pronged approach: Leadership Development and Training, and Education and Advocacy. Through strengthening their existing collaborative, they strive to positively impact the health and well-being of the Seattle urban Native community by focusing their collective efforts on expanding community connections to increase access to economic opportunity, health and well-being and housing.","$   660,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
COO,COO: Community Partnerships,Puget Sound Sage,"In this final phase, we will support the Graham Street Community Action Team in transitioning leadership work and formalizing their community planning efforts using the neighborhood vision. The facilitation and coordination role within the coalition will transition to an internal member(s) of the CAT leadership team as it moves from a planning to implementation phase. 

Now at its ten-year mark, SouthCORE is at a key re-imagining period where we are determining how as a coalition we can make deeper impacts at a large scale, build power together through shared campaigns, and develop a shared governance model. Our goal this year is for SouthCORE to operate as a powerful, nimble, and democratic coalition leveraging its resources to pass policies, as well as build systems that advance SouthCORE’s vision of Black, Indigenous, and People of Color communities thriving in place and having self-determination over their living and working conditions.","$   110,000.00","2, 3"
COO,COO: Community Partnerships,Rainier Beach Action Coalition,Plan and implement outreach strategies in light of the property acquisition.,"$   239,163.63","2, 3"
COO,COO: Community Partnerships,Southwest Youth & Family Services,"Southwest Youth and Family Services (SWYFS) is an original member of the COO partnership in White Center and is currently playing a lead partner role in the affordable housing and community space development project known as the White CenterHUB. SWYFS plays strategic roles in supporting fundraising, community engagement and outreach to increase community will and support for the Rise Together campaign and HUB project. As the HUB portion of the campaign heads into the highly visible “public phase”, SWYFS will continue to employ a Marketing & Communications staff person to work with Rise Together campaign to increase visibility, community engagement, and individual and corporate fundraising for the HUB project.","$   30,198.60",8
COO,COO: Community Partnerships,Southwest Youth & Family Services,"Working in partnership with: Southwest Youth and Family Services, Lake Burien Presbyterian Church, YES! Foundation, Alimentando Al Pueblo and BLKBRY // The Burien Collective will strengthen partnerships between Burien based agencies, leveraging the strength of community connections to mobilize and grow the collective towards a cohesive service network to create a permanent collective space for agencies while filling the gaps that currently exist in the social service net and provide a model for a community-care centered ecosystem.","$   853,337.88","8, 5"
COO,COO: Community Partnerships,Umoja P.E.A.C.E. Center,"The plan of the Replanting Roots, Rebuilding Community partnership is to continue to ensure that the Central District remains a hub for the African American/African Diasporan community. The work of the partnership will be active in all four result areas to create this reality. The partnership is working at the intersections of economic development, housing, health, and community connections to create a vibrant community for African Americans to live, shop, play, and do business in. As well as create safe spaces for community members to respectfully address and heal from past traumas.  With the resources provided from this grant we will continue the system of culturally responsive solutions informed by our collective research from previous rounds of the grant. We will continue with a focus on the individuals and families residing in Liberty Bank Building and seek to implement those same frameworks in the greater Seattle/King County area where there are pockets of African Americans/African Diasporan members. We will also continue to mobilize community members to advocate with us for policy, system, and environmental changes, as well as resource allocations to support their continued success and improved quality of life.","$   221,371.68",2
COO,COO: Community Partnerships,UTOPIA (United Territories of Pacific Islanders Alliance) Washington,"The coalition’s overall proposed plan will focus on finalizing the work each partner has been building since its inception. We will be deploying and piloting the Model Employment Policy (MEP) internally with the Coalition partners before this policy is pushed out to external partners such as other non-profit organizations, small businesses, local and state government agencies, and other industries interested in creating trans-inclusive workplace environments and continued learning. This work will be added to a list of tools and services being offered by the Collective as a whole that help build analysis, public understanding, and acceptance within workplaces in order to support the economic empowerment of transgender community members impacted by economic insecurity which was exacerbated by the pandemic. Other tools and services will include culturally competent training on LGBTQ+ inclusion, and Best Practice Toolkit and Training for Youth Service providers and organizations on how to better support transgender and gender diverse youth communities of color.

The Coalition will leverage completed work in creating an actionable, sustainability plan for the Coalition and each partner at the table to create revenue to sustain and build capacity for their respective work and for the collective work of the Coalition. The Coalition will build relationships with employers in the greater Seattle area in all industries to support with fighting harmful narratives about trans communities, increase public understanding and empathy, and focus on creating real safety in all our communities through these public education efforts coupled with the advocacy, direct service efforts, mutual aid support, systems and policy change work already a part of the collective strategies implemented by each partner in their respective communities.","$   221,371.68","1, 2, 3, 4, 5, 6, 7, 8, 9"
COO,COO: Community Partnerships,White Center Community Development Association,"We will maintain our current strategy work throughout 2022. We have made some minor adjustments to our activities due to continued impact of COVID and circumstantial needs, however, we do not anticipate any major changes or adding new activities in 2022. COO has increased our capacity to strategically partner and support partnerships in White Center. As a coalition, we will continue to find resources to maintain our work. We are continuing our plan for creating affordable housing and a hub for the White Center community. Activities for the backbone work in White Center will include staffing of COO strategy areas in relationship to partners involved. Backbone coordination will include convening of overall White Center COO partners, collect data pertinent to COO efforts, coordination of our Community Building (CB) efforts with the seven (7) CB partner organizations and continue to work with the broader community to engage families and community in COO strategies as needed.","$   325,698.69",8
COO,COO: Community Partnerships,White Center Food Bank,"The White Center Food Bank will provide continued access to community garden plots and resources to support growing local produce in White Center and local produce donations to the Food Bank. WCFB will be pausing on Grow 2 Give Garden due to relocation and the expansion of onsite space cannot be continued but aim to: 

Coordinate White Center Heights Garden plots by recruiting at least 10 gardeners who sign up and grow produce on the plots; Support at least 6 Giving Gardeners yearly by sharing resources, including seeds, plant starts, harvest share and work share; Support at least 4 local community gardens yearly by sharing resources, including seeds, plant starts, harvest share and work share; Measure the pounds of produce donated to the food bank from at least 4 of the local community garden partners","$   28,500.00",8
COO,COO: Community Partnerships,YWCA Seattle King Snohomish,"The YWCA will continue to provide individually customized, culturally relevant career navigation services designed to engage and put residents on a path to livable-wage employment, and possible long-term career paths for community residents and members, particularly people of color, and immigrants; many of whom face multiple barriers to opportunity and success, and many of whom have been equally impacted negatively as a result of the ongoing COVID-19 pandemic. The YWCA will work with COO partners to increase and deepen our understanding of the needs and barriers to career success in order to identify solutions and opportunities to address services gaps in White Center.","$   51,300.00",8
COO,COO: Systems & Policy Change,Africatown Community Land Trust,"Working in cooperation with Crescent Collaborative (Lead), Byrd Barr Place, Community Roots Housing, First Hill Improvement Association, Friends of Little Saigon and Seattle Chinatown International District Public Development Association. Please see Crescent Collaborative for program description.",$   - 0,
COO,COO: Systems & Policy Change,Byrd Barr Place,"Working in cooperation with Crescent Collaborative (Lead), Africatown Community Land Trust, Community Roots Housing, First Hill Improvement Association, Friends of Little Saigon and Seattle Chinatown International District Public Development Association. Please see Crescent Collaborative for program description.",$   - 0,
COO,COO: Systems & Policy Change,Casa Latina,"In 2023-2024, Casa Latina (CL) will continue its work to improve the working conditions of domestic workers in Seattle, King County and Washington State by changing the policies that affect them. This project is focused on implementing and completing the work CL led to win a Domestic Worker Bill of Rights in Washington. It will allow to continue staffing the efforts, supporting the Domestic Worker Coalition to advance portable PTO policies and a more comprehensive state workers compensation, and supporting the leadership of domestic workers in the state study group to continue advocating for legislation.","$   92,778.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
COO,COO: Systems & Policy Change,Chief Seattle Club,"Chief Seattle Club will continue building its organization’s platform for long-term homelessness and housing advocacy for Native people in King County. This cycle's work will prioritize three strategies: Strengthening partnerships with Native providers in King County to advocate for funding and advance best practices, advocating for changes to the Point on Time Count (PIT) aiming for this effort to accurately reflect the current homelessness crisis and spearheading the development of a comprehensive list of every person in the community experiencing homelessness, updated in real time, to inform further policy efforts.","$   92,777.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
COO,COO: Systems & Policy Change,Church Council of Greater Seattle,BSK 1.0 extension into 2022.,"$   64,000.00","5, 7, 6, 8, 9"
COO,COO: Systems & Policy Change,Collective Justice,BSK 1.0 Extension into 2022.,"$   64,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
COO,COO: Systems & Policy Change,Community Roots Housing,"Working in cooperation with Crescent Collaborative (lead), Africatown Community Land Trust, Byrd Barr Place, Community Roots Housing, First Hill Improvement Association, Friends of Little Saigon and Seattle Chinatown International District Public Development Association. Please see crescent collaborative for program description.",$   - 0,
COO,COO: Systems & Policy Change,Community Roots Housing,"Working in collaboration with White Center CDA, FEEST, Healthpoint, Southwest Youth and Family Services, and YES Foundation. Please see White Center CDA for program deescription.",$   - 0,
COO,COO: Systems & Policy Change,Creative Justice,BSK 1.0 extension into 2022.,"$   123,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
COO,COO: Systems & Policy Change,Crescent Collaborative,"Working in cooperation with Africatown Community Land Trust, Byrd Barr Place, Community Roots Housing, First Hill Improvement Association, Friends of Little Saigon and Seattle Chinatown International District Public Development Association. // This multi-pronged, community-driven anti-displacement strategy unites and elevates cross-community voices  around shared issues in affordable housing; economic opportunity (small businesses); healthful, safe communities; and community capacity with an eye towards equitable community development. Over the next 2 years, the collaborative looks to extend its push for equity in policies and systems that govern how communities' function, who gets to live or work in them, and how they can be made safe, healthy and welcoming. The coalition intends to focus on pushing systems beyond unit count as the primary goal to leverage housing production toward a broader vision of healthy communities, with community ownership and capacity, serving these neighborhoods’ historic populations.","$   169,778.00",2
COO,COO: Systems & Policy Change,Dare2Be Project,BSK 1.0 extension into 2022.,"$   123,000.00","2, 5"
COO,COO: Systems & Policy Change,Disability Rights Washington,"Disability Rights Washington (DRW) seeks to support its Disability Mobility Initiative (DMI) with the long-term goal of advancing policy toward the prioritization of funding to create an accessible and equitable public infrastructure and transit system that benefits all Washington residents. While the project will begin with a focus on advancing policy in Seattle for more public resources allocated to sidewalk repair and construction, the intent over 2023 and 2024 is to also advance policy at a state level with the same purpose but expanded geographic impact. DRW will be using a multi-modal approach through advocacy tools including legal, public policy and media advocacy, while working with members of the community with lived experience as individuals with disabilities.","$   92,777.00",
COO,COO: Systems & Policy Change,Eastside for All,"Working in collaboration with Indian American Community Services, Muslim Community Network Association, and Housing Development Consortium. Please see Indian American Community Services for program description.",$   - 0,
COO,COO: Systems & Policy Change,Fair Work Center,"In 2023-2024, Fair Work Center (FWC) seeks to build organizing power among food service industry workers to ensure employers follow existing local and state policies and workplace protections. FWC will expand and solidify its existing restaurant worker committee, coordinate strategic participatory industry mapping, provide legal support for workers, lead advocacy efforts in collaboration with Labor and Industries and other relevant agencies, collaborate with elected officials and shape public narrative to establish workers as central protagonists in their industry.","$   92,777.00",
COO,COO: Systems & Policy Change,FEEST,"FEEST will continue to develop low-income BIPOC and immigrant youth leaders to build collective power and organize for transformative and systemic change in their schools, including building a culture of holistic health equity in schools in South Seattle and South King County. While FEEST historically focused on food justice and health equity, recently, youth have led towards expanding the focus to also include mental health supports and transformative justice in schools in order to more fully address the barriers youth are facing in school to better learn and thrive.","$   92,777.00","2, 8"
COO,COO: Systems & Policy Change,FEEST,"Working in collaboration with White Center CDA, Community Roots Housing, Healthpoint, Southwest Youth and Family Services, and YES Foundation. Please see White Center CDA for program description.",$   - 0,
COO,COO: Systems & Policy Change,First Hill Improvement Association,"Working in collaboration with Crescent Collaborative (lead), Africatown Community Land Trust, Byrd Barr Place, Community Roots Housing, Friends of Little Saigon and Seattle Chinatown International District PDA. Please see Crescent Collaborative for program description.",$   - 0,
COO,COO: Systems & Policy Change,ForFortyTwo,BSK 1.0 extension into 2022.,"$   96,000.00",5
COO,COO: Systems & Policy Change,Freedom Project,BSK 1.0 extension into 2022.,"$   91,000.00","1, 2, 5, 6, 7, 8"
COO,COO: Systems & Policy Change,Friends of Little Saigon,"Working in cooperation with Crescent Collaborative, Africatown Community Land Trust, Byrd Barr Place, Community Roots Housing, ,First Hill Improvement Association, and Seattle Chinatown International District PDA. Please see Crescent Collaborative for program description.",$   - 0,
COO,COO: Systems & Policy Change,Got Green,BSK 1.0 extension into 2022.,"$   54,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
COO,COO: Systems & Policy Change,HealthPoint,"Working in collaboration with White Center CDA, Community Roots Housing, FEEST, Southwest Youth and Family Services, and YES Foundation.  See the White Center CDA for program description.",$   - 0,
COO,COO: Systems & Policy Change,Horn of Africa Services,"Working in collaboration with Somali Community Services of Seattle (SCSS) and the Oromia Center in Washington (OCCIWA). // Horn of Africa seeks to address gun violence and the school to prison pipeline that affect BIPOC immigrant and refugee youth disproportionately in the New Holly, Rainier Vista, High Point and Yesler Terrace communities. Community base development, education, engagement with, and education, of decision makers, data gathering, policy drafting and advocacy, and plans around policy implementation and enforcement are some of the strategies that will be funded with this proposal.","$   169,778.00",
COO,COO: Systems & Policy Change,Horn of Africa Services,"Working in collaboration with New Americans Alliance for Policy and Research, Somali Community Services of Seattle, Partners in Employment, and Iraqi Community Center of Washington. Please see New Americans Alliance for Policy and Research for program description.",$   - 0,
COO,COO: Systems & Policy Change,Housing Development Consortium,"Working in collaboration with Indian American Community Services (IACS), Muslim Community Network Association, and Eastside for All. Please see Indian American Community Services for program description.",$   - 0,
COO,COO: Systems & Policy Change,Indian American Community Services (IACS),"Working in cooperation with Muslim Community Network Association, Eastside for All, and Housing Development Consortium. // Indian American Community Services seeks to advance policy and systems change toward housing justice while effectively addressing racial disparities in East King County. The policy focus areas include inclusionary zoning, increased funding for affordable housing, and increased tenant protections. The coalition's strategy consists of an ""inside-outside"" approach that includes building power among those closest to the problem to advocate for themselves and collaborating with relevant elected officials and government agencies on relevant policy development and/or implementation.","$   169,778.00",
COO,COO: Systems & Policy Change,Iraqi Community Center of Washington,"Working in collaboration with New Americans Alliance for Policy and Research, Somali Community Services of Seattle, Partners in Employment, and Horn of Africa Services. Please see New Americans Alliance for Policy and Research for program description.",$   - 0,
COO,COO: Systems & Policy Change,King County Equity Now,BSK 1.0 extension into 2022.,"$   123,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
COO,COO: Systems & Policy Change,Look2Justice,"By utilizing tactics that center the voices and experiences of those most directly impacted by the criminal legal system, Look2Justice (L2J) seeks to expand its current network of 400+ organizers to at least 1,200 organizers over the next years to reach 10% of the incarcerated population across Washington State and collaborate towards advancing policies that will transform the state's criminal legal system. This proposal includes civic education and empowerment, continuous communications with those currently incarcerated around relevant legislation and court decisions, educational workshops for legislators, prosecutors, judges etc.","$   92,778.00",
COO,COO: Systems & Policy Change,Muslim Community Network Association,"Working in collaboration with Indian American Community Services, Eastside for All, and Housing Development Consortium. Please see Indian American Community Services for program description.",$   - 0,
COO,COO: Systems & Policy Change,New Americans Alliance for Policy and Research,"Working in cooperation with Somali Community Services of Seattle, Partners in Employment, Iraqi Community Center of Washington, and Horn of Africa Services. // New Americans Alliance for Policy and Research (NAAPR) is looking to give refugees a platform to voice their needs to policy makers in order to tackle the inequities in economic opportunities available to them. On a county and state level, NAAPR is pushing for the implementation of monitoring and evaluation systems for the Limited English Proficiency Pathway (LEP) program, which helps refugees and families on Temporary Assistance for Needy Families to gain employment. This data collection will provide evidence to support requests for increased funding to give refugees the means to acquire and maintain good job opportunities. On a federal level, NAAPR is looking to raise awareness among decisionmakers around the repercussions of current refugee resettlement employment regulations and to secure sponsors for a bill to lengthen the time refugees receive benefits so that they can learn English, and address their health, mental health and housing needs before they are pushed into “survival jobs” with short-term and limited economic prospects.","$   169,778.00",
COO,COO: Systems & Policy Change,New Economy Project,BSK 1.0 Extension of 2022 dollars.,"$   182,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
COO,COO: Systems & Policy Change,Not This Time!,BSK 1.0 extension into 2022.,"$   95,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
COO,COO: Systems & Policy Change,Oromia Community Center in Washington,Working in collaboration with Horn of Africa Services (HOAS) and Somali Community Services of Seattle (SCSS). Please see Horn of Africa Services for program description.,$   - 0,
COO,COO: Systems & Policy Change,Para Los Niños,BSK 1.0 extension dollars in 2022.,"$   86,000.00","5, 7, 8, 9"
COO,COO: Systems & Policy Change,Partner in Employment,"Working in collaboration with New Americans Alliance for Policy and Research (NAAPR), Somali Community Services of Seattle, Iraqi Community Center of Washington, and Horn of Africa Services. Please see New Americans Alliance for Policy and Research for program description.",$   - 0,
COO,COO: Systems & Policy Change,Seattle Chinatown International District Preservation and Development Authority (SCIDpda),"Working in collaboration with Crescent Collaborative, Africatown Community Land Trust, Byrd Barr Place, Community Roots Housing, First Hill Improvement Association, Friends of Little Saigon. Please see Crescent Collaborative for program description.",$   - 0,
COO,COO: Systems & Policy Change,Seattle Indian Health Board,"Through policy advocacy, the Seattle Indian Health Board will continue its work to implement culturally attuned systems and policies for addressing the Missing and Murdered Indigenous Women and People crisis and reducing gender-based violence among Native populations in Washington State and the greater Seattle-King County Area.","$   92,778.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
COO,COO: Systems & Policy Change,Skyway Coalition,BSK 1.0 Extension into 2022.,"$   103,000.00",2
COO,COO: Systems & Policy Change,Somali Community Services of Seattle (SCSS),Working in collaboration with Horn of Africa Services (HOAS) and the Oromia Center in WA (OCCIWA). Please see Horn of Africa Services for program description.,$   - 0,
COO,COO: Systems & Policy Change,Somali Community Services of Seattle (SCSS),"Working in collaboration with New American Alliance for Policy and Research (NAAPR), Partners in Employment, Iraqi Community Center of Washington and Horn of Africa Services. Please see New American Alliance for Policy and Research for program description.",$   - 0,
COO,COO: Systems & Policy Change,Southwest Youth & Family Services,"Working in collaboration with White Center CDA, Community Roots Housing, FEEST, HealthPoint, and YES Foundation. Please see White Center CDA for program description.",$   - 0,
COO,COO: Systems & Policy Change,Statewide Poverty Action Network,"Through “Campaign for Cash” (CFC) and the CFC's Core Leadership Team, Statewide Poverty Action Network will work to change the narrative around poverty and champion cash assistance policies in Washington State. CFC's policy priorities for 2023 and 2024 are: the creation or improvement of, and access to, direct cash assistance for low-income and BIPOC families as they work to meet their basic needs; modifications to the Temporary Assistance to Needy Families to make it more robust and accessible; accessible implementation and future expansions of the Working Family Tax Credit; and the creation of an accessible, equitable statewide Guaranteed Basic Income.","$   92,778.00",
COO,COO: Systems & Policy Change,Surge Reproductive Justice,"Surge Reproductive Justice (SRJ) seeks funding to support and facilitate the Doulas for All coalition, a doula and birth worker led effort, working to address maternal and perinatal health outcomes by advancing Medicaid reimbursements for doulas. In 2022, SRJ advocated and passed legislation that directs the Department of Health (DoH) to create a profession for doulas. In 2023 and 2024, Surge will be working with the DoH (and other government agencies) to implement the bill and design the doula certification process. Surge also aims to educate and identify potential legislative champions who can support the fiscal request in the 2023 and 2024 legislative session.","$   92,778.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
COO,COO: Systems & Policy Change,Tenants Union of Washington State,BSK 1.0 extension into 2022.,"$   86,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
COO,COO: Systems & Policy Change,The Mockingbird Society,"In 2023 and 2024, The Mockingbird Society (TMS) is seeking to advocate for policies to establish a racial equity focused county-level “Office of Homeless Youth,” a cross-system coordinating body among housing, employment, education, behavioral health service providers, child welfare, juvenile justice systems and service providers which will center youth and young adults experiencing homelessness and engage them as core members. Young adults with lived experience leading the work, collaboration with elected officials and other organizations, efforts towards gathering disaggregated data and advocacy for funding are some of the tactics TMS will implement during the funding cycle.","$   92,778.00",
COO,COO: Systems & Policy Change,Tubman Center for Health & Freedom,"Tubman Center for Health and Freedom seeks to fund its Working Our Solutions Project, an effort that addresses the urgent need for more BIPOC health practitioners by driving policy change to secure public investments in innovative, community-designed healthcare workforce solutions. Among its tactics, Tubman Center will be collaborating with government agencies and elected officials at a local, county, state and federal level for policy development and workforce strategies and partnering with educational institutions to create community rooted health career pathways and training.","$   92,778.00",
COO,COO: Systems & Policy Change,UTOPIA (United Territories of Pacific Islanders Alliance) Washington,BSK 1.0 extension into 2022.,"$   80,000.00",5
COO,COO: Systems & Policy Change,Voices of Tomorrow,"In 2023 and 2024, Voices of Tomorrow (VOT) will work toward systems and policy change that will bring economic equity to immigrant and refugee Family Child Care (FCC) providers in King County. VOT will work toward state legislative policy changes to remove restrictions on FCC businesses in homes; policy changes at a state, county, city level to fund licensed FCC providers on par with licensed childcare centers; and systemic change to implement new inclusive practices in places where governmental agencies develop funding mechanisms that affect immigrant and refugee FCC providers.","$   98,788.00",
COO,COO: Systems & Policy Change,Wa Na Wari,BSK 1.0 extension into 2022.,"$   123,000.00",2
COO,COO: Systems & Policy Change,Washington Immigrant Solidarity Network,"Washington Immigrant Solidarity Network (WAISN) will be coordinating and mobilizing its organizing and policy strategy efforts around health equity and unemployment insurance for all, regardless of immigration status. Storytelling, direct action, coalition building, data collection, research and language justice are some of the strategies at the core of WAISN's work.","$   92,778.00",
COO,COO: Systems & Policy Change,White Center Community Development Association,"Working in collaboration with Community Roots Housing, FEEST, Healthpoint, Southwest Youth and Family Services, and YES Foundation. // White Center Community Development Association (WCDA) seeks to mobilize a community-wide policy advocacy effort to create a community preference housing ordinance for King County. The three key components WCDA seeks to implement to achieve its goal are research and multi-level education of community and elected officials; policy advocacy (research, media outreach etc.)with a focus on collaboration between King County leadership and community; and the adoption and enactment of policies in partnership with county staff and private and non-profit developers.",,
COO,COO: Systems & Policy Change,YES! Foundation,"Working in collaboration with White Center CDA, Community Roots Housing, FEEST, Healthpoint, and Southwest Youth and Family Services. Please see the White Center CDA for program description.",,
5 - 24,CWI: Youth Healing,A Sacred Passing,"Family Dinners is a 13-week youth-led program focused on youth developing life skills through cooking. We will learn through collaboration and safe family-oriented settings. Meals we cook will be shared and followed by table-talk discussions around life, mental health, and well-being for BIPOC middle school and high school boys age 11 through 17 years old who are living in low-income public housing...In addition to learning cooking skills, and discussions around mental health and well-being, we have table talk discussions about what it means to be a male of color navigating today's society. Contract End Date: 6/30/23","$   9,999.00","1, 2, 4, 5, 3, 7, 6, 9, 8"
5 - 24,CWI: Youth Healing,Empower Next Generations,[COMING SOON] Contract End Date: 12/31/2023,"$   9,999.00","5, 7, 2, 8"
5 - 24,CWI: Youth Healing,Geeking Out Kids of Color,The (GeekingOut Kids of Color) program focuses on solving social justice issues that we care about using technology and adding a focus on the intention behind the project is empowering as we are able to explore our abilities and identify what is important to us but work through the project as a whole being and a self-care journey through it all. Contract End Date: 6/30/23,"$   9,999.00",8
5 - 24,CWI: Youth Healing,Heart & Hustle Academy,"The project I plan to bring is a mentoring program that will focus on supporting the social, emotional, and mental health of our youth that are furthest from educational justice in the South Park community...Being a South Park native, I know firsthandthe inequities and lack of resources that my community faces. Currently, the neighborhood I once knew is being gentrified, pushing out my fellow community members, including myself. Contract End Date: 6/30/23","$   9,999.00","8, 2"
5 - 24,CWI: Youth Healing,Kandelia,"My goal is to create a safe space for immigrants and refugees’ students that are new to the country. This project will focus on providing them a safe space where they can adjust to the new school system, meet other students like them and build community. It will also provide them the necessary and fundamental resources such as how to navigate public transportation, learn about local organizations, and get any support they may need. This project will also help students to be more involved and have leadership opportunities in school projects and after school programs. Contract End Dates: 6/30/23","$   9,999.00","4, 8, 2, 1, 5"
5 - 24,CWI: Youth Healing,Kiks for Cool Kids,"Building a Stronger Tomorrow Today is a project I have been envisioning for some time now. I am working on building my business as a photographer.I have not had any formal training or education.However, I have a way of capturing the essence of YOU!With this project, Building a Strong Tomorrow Today, I want to share with other youths the beauty of recognizing your fears, your anger, and your past and building yourself up from there.It’s not easy, but it’s not insurmountable.Together, I can support each youth to build their dream while strengthening their heart, their self-esteem, and finding a way to seek help from culturally relevant organizations. Contract End Date: 12/31/23","$   9,999.00","9, 7, 8, 6, 5, 4, 3, 2, 1"
5 - 24,CWI: Youth Healing,Laney Brackett,"As a fellow teen, I know how hard the past 2 years have been trekking through a pandemic filled with loneliness, depression, and mental healthchallenges. Now slowlytransitioningback into asense of normalcy,is even more difficult than expected. Teen mental health is atanall-time low, but, at the same time, we are expected to have grown and matured over the past two years. With the demands of school, extracurriculars, sports and social involvement, teens often put their own well-being last. My nonprofit and website Teen.Self.Healthadvocatesforthe normalization of mental health. It provides highschoolers with a safe space at school to hold open ended discussions about mental health, learn about resources in the community, and provides them with the education to further help other people in the greater community. Contract End Date: 6/30/23","$   3,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
5 - 24,CWI: Youth Healing,Northwest Education Access,"The project promotes mental health and well-being in youth and the community by providing a space where youth can be taught yoga, mindfulness and meditation, engage in healing conversations related to different themes (self-love, forgiveness, gratitude, etc), by people that look like them and come from backgrounds like theirs. Furthermore, this project promotes mental health by helping youth learn how to convey their feelings through poetry, journaling, etc. These different practices allow youth to get in touch with their emotions through different mediums while having a community alongside them doing the same thing. Contract End Date: 12/31/23","$   6,200.00",8
5 - 24,CWI: Youth Healing,Sarah Derstadt,"For the knitters, finding a balance in life between stressful work and personal projects is vital to maintaining a clear headspace. Knitting is a relaxing task that has the power to improve individual mental health. On top of that, the knitting groups will build positive communities that act as support networks and a means to kindle new relationships. Positive interactions with others that are equally determined and passionate can lift spirits, form new bonds, and see similarities and understanding—all factors that improve mental health. Contract End Date: 6/30/23","$   1,000.00","4, 8"
5 - 24,CWI: Youth Healing,SG Education Consulting,"We became Healers through our journey in the “Youth Healing Project” and we are excited to be able to replicate the program, empower young leaders to become Healers and build more safe, healthy and joyful communities where empathy is the most important tool to bring people together. We are honor(ed to) be (a) part of (the) Youth Healing Project, now led by our team of Youth Healers. Contract End Date: 12/31/23","$   9,999.00","2, 8"
5 - 24,CWI: Youth Healing,Student Connection,"Student Connection was inspired by my friend Zach. Zach was smart, energetic, and creative. Growing up, he told me he felt inadequate at school because he was Black and his parents “were dropouts.” In 10thgrade, he dropped out too. One day I told him “Sorry if I’m the hundredth person to say this, but it’s not late to try school again. I know you could do it.” To my surprise, he responded, 'Don’t be sorry. That’s the first time someone’s told me that since I can remember.' …My friend needed someone who believed in him. Student Connection won’t stop until every student is supported. Until every student has an academic role model that believes in them.” Contract End Date: 6/30/23","$   9,000.00","9, 8, 7, 6, 5, 4, 3, 2, 1"
5 - 24,CWI: Youth Healing,The Good Foot Arts Collective,"What our project is working on this year is an interactive coloring book that is targeted and will be released to BIPOC communities in the South End and surrounding areas and our target audience will be children and youth ages and grades K-5. Our vision is to empower our youth by giving them an outlet to better express their emotions and it will also be an outlet for educators, young adults, and parents to get a better understanding of their status of their students' social and emotional literacy. Contract End Date: 6/30/23","$   9,999.00","2, 8, 5"
5 - 24,CWI: Youth Healing,Urban League of Metropolitan Seattle,[COMING SOON] Contract End Date: 12/31/23,"$   9,999.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
